Position,"Track Name",Artist,Streams,URL
127,"La Cintura (feat. Flo Rida & TINI) - Remix","Alvaro Soler",705596,https://open.spotify.com/track/56gH0zGe3SP9SGNoQ2pWwn
128,"Call Out My Name","The Weeknd",704065,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
129,"Remind Me to Forget",Kygo,702946,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
130,Hipócrita,"Anuel Aa",702424,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
131,"Ball For Me (feat. Nicki Minaj)","Post Malone",699002,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
132,"Tie Me Down (with Elley Duhé)",Gryffin,695709,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
133,"Say You Won't Let Go","James Arthur",686127,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
134,"5% TINT","Travis Scott",684810,https://open.spotify.com/track/11kDth1aKUEUMq9r1pqyds
135,Chun-Li,"Nicki Minaj",681027,https://open.spotify.com/track/1e4rwBPVI32vZtTJu7mJ4J
136,"Te Amo","Piso 21",680135,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
137,Congratulations,"Post Malone",676505,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
138,HUMBLE.,"Kendrick Lamar",666922,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
139,"Plug Walk","Rich The Kid",663116,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
140,"Síguelo Bailando",Ozuna,662088,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
141,"All The Stars (with SZA)","Kendrick Lamar",653109,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
142,"Something Just Like This","The Chainsmokers",648452,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
143,APESHIT,"The Carters",648438,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
144,"Wake Me Up - Radio Edit",Avicii,643893,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
145,"If You're Over Me","Years & Years",643538,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
146,Africa,Toto,643068,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
147,"Playinwitme (feat. Kehlani)",KYLE,640323,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
148,goosebumps,"Travis Scott",638711,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
149,"Walk It Talk It",Migos,638065,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
150,"Freaky Friday (feat. Chris Brown)","Lil Dicky",637887,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
151,"This Is America","Childish Gambino",629618,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
152,"500 PS","Bonez MC",629245,https://open.spotify.com/track/641R77CBy4bOLGRcA9sgHy
153,"Ric Flair Drip (& Metro Boomin)",Offset,623233,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
154,"I'll Be There","Jess Glynne",622741,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
155,"One Dance",Drake,620325,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
156,"Duro y Suave","Leslie Grace",618556,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
157,"I Like Me Better",Lauv,616389,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
158,Hope,XXXTENTACION,615844,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
159,"Candy Paint","Post Malone",615551,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
160,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",615498,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
161,"Feel It Still","Portugal. The Man",613822,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
162,NC-17,"Travis Scott",613349,https://open.spotify.com/track/6BJbOXDlgVAXSaq6wYFYT2
163,"WHO? WHAT!","Travis Scott",613157,https://open.spotify.com/track/4KYS9GK68yeuUJ8vJfPxrq
164,Dura,"Daddy Yankee",611998,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
165,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,607245,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
166,"El Préstamo",Maluma,605581,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
167,"Ganja Burn","Nicki Minaj",604117,https://open.spotify.com/track/3LHYmz86DxGInsRp3wiiW5
168,Familiar,"Liam Payne",601462,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
169,"All Mine","Kanye West",601399,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
170,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",600437,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
171,"What Lovers Do (feat. SZA)","Maroon 5",599602,https://open.spotify.com/track/0GxQ1A5L9xnMOytbP6eKBG
172,HOUSTONFORNICATION,"Travis Scott",592292,https://open.spotify.com/track/58TaFP5j5i9swOf584yon2
173,Wolves,"Selena Gomez",591728,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
