UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType,ProductOriginCountry_iso3n
ICID00031572,2018-02-08,Pathogenic Micro-Organisms,Fruits & Vegetables,Egypt (EG),Border Inspection Posts (BIPs),818
ICID00031574,2018-02-08,Mycotoxins,Nuts / Nut Products / Seeds,Belgium (BE),RASFF,56
ICID00031575,2018-02-08,Migration,Food Contact Materials,China (CN),RASFF,156
ICID00031576,2018-02-08,Mycotoxins,Feed Materials,China (CN),Border Inspection Posts (BIPs),156
ICID00031578,2018-02-08,Chemical Contamination (other),Nuts / Nut Products / Seeds,Uzbekistan (UZ),RASFF,860
ICID00031579,2018-02-08,Poor or Insufficient Controls,Confectionery,China (CN),Food Standards Scotland (FSS),156
ICID00031585,2018-02-09,Mycotoxins,Nuts / Nut Products / Seeds,Germany (DE),RASFF,276
ICID00031586,2018-02-09,Allergens,Fruits & Vegetables,South Africa (ZA),RASFF,710
ICID00031587,2018-02-09,Allergens,Prepared Dishes & Snacks,Belgium (BE),RASFF,56
ICID00031589,2018-02-09,Poor or Insufficient Controls,Confectionery,China (CN),Food Standards Scotland (FSS),156
ICID00031590,2018-02-11,Chemical Contamination (other),Fish & Fish Products,India (IN),Border Inspection Posts (BIPs),356
ICID00031595,2018-02-12,Pesticide Residues,Fruits & Vegetables,Poland (PL),FSA Policy,616
ICID00031599,2018-02-12,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00031600,2018-02-12,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Germany (DE),Administrative Assistance and Cooperation System (AAC),276
ICID00031604,2018-02-12,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),EU Member States,764
ICID00031605,2018-02-13,Poor or Insufficient Controls,Fish & Fish Products,China (CN),Port Health Authority (PHA),156
ICID00031609,2018-02-12,Heavy Metals,Fish & Fish Products,India (IN),Border Inspection Posts (BIPs),356
ICID00031613,2018-02-13,Pathogenic Micro-Organisms,Fish & Fish Products,France (FR),RASFF,250
ICID00031615,2018-02-14,Pathogenic Micro-Organisms,Milk & Milk Products,Greece (GR),Local Authority,300
ICID00031616,2018-02-15,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs),586
ICID00031617,2018-02-14,Labelling Absent / Incomplete / Incorrect,Other Food Product / Mixed,Cameroon (CM),Port Health Authority (PHA),120
ICID00031618,2018-02-15,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Port Health Authority (PHA),586
ICID00031623,2018-02-15,Food Additives & Flavourings,Non-Alcoholic Beverages,South Africa (ZA),Local Authority,710
ICID00031626,2018-02-15,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs),586
ICID00031627,2018-02-15,Pesticide Residues,Fruits & Vegetables,Peru (PE),RASFF,604
ICID00031628,2018-02-14,Adulteration / Fraud,Poultry Meat & Poultry Meat Products,Poland (PL),Local Authority,616
ICID00031632,2018-02-15,Pathogenic Micro-Organisms,Fruits & Vegetables,Hungary (HU),Public Health England (PHE),348
ICID00031633,2018-02-16,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Netherlands (NL),Industry,528
ICID00031634,2018-02-16,Radiation,Fish & Fish Products,Vietnam (VN),RASFF,704
ICID00031640,2018-02-19,Food Additives & Flavourings,Herbs & Spices,South Africa (ZA),Local Authority,710
ICID00031645,2018-02-19,Foreign Bodies,Confectionery,Sweden (SE),Industry,752
ICID00031649,2018-02-20,Adulteration / Fraud,Meat & Meat Products (other than poultry),Poland (PL),Industry,616
ICID00031652,2018-02-20,Chemical Contamination (other),Nuts / Nut Products / Seeds,Pakistan (PK),RASFF,586
ICID00031656,2018-02-21,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Belgium (BE),RASFF,56
ICID00031657,2018-02-16,Poor or Insufficient Controls,Feed Premixtures,Germany (DE),Local Authority,276
ICID00031658,2018-02-21,Poor or Insufficient Controls,Non-Alcoholic Beverages,Italy (IT),Border Inspection Posts (BIPs),380
ICID00031660,2018-02-21,Poor or Insufficient Controls,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),Medicines & Healthcare Regulatory Agency (MHRA),840
ICID00031663,2018-02-21,Poor or Insufficient Controls,Alcoholic Beverages,Belgium (BE),Police,56
ICID00031667,2018-02-21,Poor or Insufficient Controls,Other Food Product / Mixed,Portugal (PT),Police,620
ICID00031672,2018-02-21,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Border Inspection Posts (BIPs),214
ICID00031673,2018-02-22,Mycotoxins,Nuts / Nut Products / Seeds,Turkey (TR),Border Inspection Posts (BIPs),792
