x,y,value
Fast Food,Soup,0.149454467325539
Soup,Fast Food,0.149454467325539
Cheese Shops,Ethnic Food,0.14634008661502
Ethnic Food,Cheese Shops,0.14634008661502
Food Court,Salad,0.145512772560813
Salad,Food Court,0.145512772560813
Cuban,Ethnic Food,0.143994850585375
Ethnic Food,Cuban,0.143994850585375
Caribbean,Italian,0.143921553397998
Italian,Caribbean,0.143921553397998
Latin American,Piano Bars,0.143917909470137
Piano Bars,Latin American,0.143917909470137
Cheese Shops,Italian,0.143028959523415
Italian,Cheese Shops,0.143028959523415
Mediterranean,Wine Bars,0.14200772385284
Wine Bars,Mediterranean,0.14200772385284
Piano Bars,Shaved Ice,0.141660849614713
Shaved Ice,Piano Bars,0.141660849614713
Caribbean,Delis,0.140178894949488
Delis,Caribbean,0.140178894949488
Hot Pot,Pizza,0.138758928964866
Pizza,Hot Pot,0.138758928964866
Latin American,Shaved Ice,0.137831255966027
Shaved Ice,Latin American,0.137831255966027
Arabian,Patisserie/Cake Shop,0.137617452237334
Patisserie/Cake Shop,Arabian,0.137617452237334
Cupcakes,Sushi Bars,0.135293150291734
Sushi Bars,Cupcakes,0.135293150291734
Beer Bar,Spanish,0.134541265558828
Spanish,Beer Bar,0.134541265558828
Cheese Shops,Patisserie/Cake Shop,0.132840960301214
Patisserie/Cake Shop,Cheese Shops,0.132840960301214
Specialty Food,Sushi Bars,0.132499036427362
Sushi Bars,Specialty Food,0.132499036427362
Food Delivery Services,Soup,0.132419198818428
Soup,Food Delivery Services,0.132419198818428
Gelato,Mediterranean,0.132419186029501
Mediterranean,Gelato,0.132419186029501
Breweries,Gelato,0.132259625836973
Gelato,Breweries,0.132259625836973
Ethnic Food,Shaved Ice,0.130280832844563
Shaved Ice,Ethnic Food,0.130280832844563
Cafes,Soup,0.127840245943808
Soup,Cafes,0.127840245943808
Piano Bars,Thai,0.127573511499782
Thai,Piano Bars,0.127573511499782
Ethnic Food,Mediterranean,0.127377705280384
Mediterranean,Ethnic Food,0.127377705280384
Breweries,Thai,0.127097451252004
Thai,Breweries,0.127097451252004
Desserts,Food Delivery Services,0.126058072296539
Food Delivery Services,Desserts,0.126058072296539
Food Court,Soup,0.124259934121455
Soup,Food Court,0.124259934121455
Latin American,Soup,0.123880301513416
Soup,Latin American,0.123880301513416
Latin American,Sushi Bars,0.122266676967562
Sushi Bars,Latin American,0.122266676967562
Indonesian,Pizza,0.121935105888056
Pizza,Indonesian,0.121935105888056
Food Court,Pubs,0.119968716907031
Pubs,Food Court,0.119968716907031
Breweries,Food Court,0.116013164991198
Food Court,Breweries,0.116013164991198
Falafel,Gelato,0.114187087574208
Gelato,Falafel,0.114187087574208
Desserts,Piano Bars,0.113359943904562
Piano Bars,Desserts,0.113359943904562
Cheese Shops,Latin American,0.111132641484329
Latin American,Cheese Shops,0.111132641484329
Breweries,Specialty Food,0.110081657755275
Specialty Food,Breweries,0.110081657755275
Cheese Shops,Cupcakes,0.109880441344733
Cupcakes,Cheese Shops,0.109880441344733
Food Delivery Services,Latin American,0.10960114105184
Latin American,Food Delivery Services,0.10960114105184
Gelato,Thai,0.109476322377622
Thai,Gelato,0.109476322377622
Delis,Latin American,0.108426398913465
Latin American,Delis,0.108426398913465
Pizza,Spanish,0.108049958419465
Spanish,Pizza,0.108049958419465
Gelato,Shaved Ice,0.107818275391554
Shaved Ice,Gelato,0.107818275391554
Arabian,Cupcakes,0.106029138726344
Cupcakes,Arabian,0.106029138726344
Caribbean,Patisserie/Cake Shop,0.105284847370816
Patisserie/Cake Shop,Caribbean,0.105284847370816
Falafel,Wine Bars,0.10377208950737
