channel_title,trending_count,views,subscribers,classification
Foot Locker,1,1120841,155596.0,Commercial
Ford Europe,1,10020,63660.0,Commercial
Ford Motor Company,1,83525,1556008.0,Commercial
Forgotten Weapons,1,176785,680798.0,Youtuber
Fox Business,1,20955,185033.0,Traditional Media
Fox News,7,166404,951035.0,Traditional Media
FoxSearchlight,3,315567,208047.0,Movie Trailer
Frank May,1,399491,1105.0,Conventional Viral
Frankie Vision,1,220548,97147.0,Traditional Media
Freddie Lister,1,662308,899.0,Conventional Viral
FreeDawkins,6,36028,590200.0,Traditional Media
Freedom of the Press Foundation,1,29301,3384.0,Conventional Viral
Freeform,1,7978,403163.0,Traditional Media
Freemeo,1,10559,5302.0,Movie Trailer
FrenchMontanaVEVO,1,607810,2408862.0,Music
Frog The Rooster,1,176079,1232.0,Conventional Viral
FrownsUpsideDown,1,3644,3413.0,Conventional Viral
Fueled By Ramen,6,339772,9945071.0,Music
Full Frontal with Samantha Bee,9,327134,827892.0,Traditional Media
FunForLouis,1,43226,2000968.0,Youtuber
Function,1,13564,11647.0,Youtuber
FundingCircleUK,1,331939,612.0,Conventional Viral
Funny Commercials,1,385563,8044.0,Conventional Viral
Funny News,1,339263,177.0,Conventional Viral
Funny Or Die,3,27080,2203552.0,Youtuber
GEazyMusicVEVO,4,2563426,4756225.0,Music
GQ,9,445485,1882344.0,Traditional Media
Galantis,1,197485,2482552.0,Music
GamingWithJen,1,114829,3763797.0,Movie Trailer
Gatorade,1,957603,133240.0,Commercial
Gcincorp Ecommerce and Real Estate,1,106523,144.0,Conventional Viral
Gemma Stafford,2,54391,1549469.0,Youtuber
Genius,6,303316,2282860.0,Traditional Media
Gentle Whispering ASMR,1,428389,1227135.0,Youtuber
Genuine Survival Research Labs,1,19006,1895.0,Traditional Media
Geoff Mallinson,1,4681,37.0,Conventional Viral
GeorgeEzraVEVO,2,165111,596628.0,Music
Gerry Litwin,1,1202896,6588.0,Conventional Viral
