MMSI, LAT, LON, SPEED, COURSE, STATUS, TIMESTAMP
503336000,-12.469830,130.849700,0,172,5,2013-11-20T16:09:00
525022005,-3.327062,114.554400,1,154,8,2013-11-20T16:09:00
258406000,-12.482170,130.848700,0,170,1,2013-11-20T16:10:00
533004840,-12.477870,130.930600,0,43,1,2013-11-20T16:05:00
565305000,1.239545,103.747200,0,154,5,2013-11-20T16:06:00
565590000,1.299922,103.755800,0,271,5,2013-11-20T16:07:00
563897000,1.249682,103.589400,0,165,1,2013-11-20T15:25:00
525017089,-5.917297,105.979500,74,293,8,2013-11-20T16:11:00
563013880,1.291550,103.760900,1,352,15,2013-11-20T16:11:00
414746000,1.231712,103.807200,1,338,1,2013-11-20T16:10:00
563794000,1.311442,103.636700,0,47,8,2013-11-20T16:08:00
319312000,8.069832,98.446090,0,85,0,2013-11-20T16:08:00
563020750,1.270677,103.867300,0,226,99,2013-11-20T16:12:00
574693000,10.504350,106.947000,0,83,5,2013-11-20T16:05:00
525022211,-3.235270,114.542100,53,359,0,2013-11-20T15:24:00
574001130,10.761130,106.714400,0,280,5,2013-11-20T16:07:00
567710002,7.775175,98.327520,0,11,99,2013-11-20T16:10:00
440116000,10.579190,106.835600,117,352,0,2013-11-20T16:08:00
412024000,1.277390,103.905700,1,227,1,2013-11-20T15:30:00
525015491,-5.930563,105.965300,56,127,8,2013-11-20T16:11:00
566657000,1.250000,103.850000,0,39,0,2013-11-20T16:10:00
563023710,1.309815,103.727000,0,223,99,2013-11-20T16:12:00
563012310,1.227667,103.874800,99,115,0,2013-11-20T16:11:00
563001580,1.304002,103.754200,1,346,1,2013-11-20T16:08:00
566617000,1.255200,103.929300,1,25,1,2013-11-20T16:11:00
319865000,-16.917330,145.782800,0,324,5,2013-11-20T16:00:00
310657000,1.187437,103.679300,0,228,1,2013-11-20T16:00:00
248437000,1.270118,103.892100,0,175,1,2013-11-20T16:07:00
525015631,-5.959453,105.952400,53,46,0,2013-11-20T16:11:00
542112110,1.081602,103.895000,1,359,0,2013-11-20T15:37:00
457412000,10.525380,106.936500,1,242,0,2013-11-20T16:10:00
373542000,11.203510,99.583450,1,275,5,2013-11-20T16:08:00
357117000,1.195483,103.684200,0,340,1,2013-11-20T16:06:00
636014315,1.226533,103.673000,0,336,5,2013-11-20T16:05:00
538001656,1.211017,103.656300,0,113,1,2013-11-20T15:42:00
563943000,1.221300,103.821200,2,344,1,2013-11-20T16:10:00
567429000,7.812033,98.420720,0,328,0,2013-11-20T16:10:00
1905266,1.273573,103.801400,0,0,11,2013-11-20T16:09:00
5250012,1.181167,104.014500,0,0,14,2013-11-20T16:07:00
525004106,-8.524207,115.521800,0,348,1,2013-11-20T16:07:00
457770000,1.280415,103.706600,1,108,99,2013-11-20T16:09:00
514100005,10.707810,106.755200,33,4,99,2013-11-20T15:21:00
564265000,1.306207,103.728200,1,242,99,2013-11-20T15:49:00
538004960,1.268550,103.595900,0,114,1,2013-11-20T16:07:00
356629000,1.274672,103.774200,0,147,5,2013-11-20T16:12:00
563981000,1.306072,103.718500,0,272,3,2013-11-20T16:08:00
372324000,1.226382,103.457900,123,282,0,2013-11-20T15:33:00
563711000,1.191753,103.745000,1,246,1,2013-11-20T16:05:00
351518000,1.216000,103.816300,0,307,1,2013-11-20T16:00:00
352157000,1.263005,103.837400,0,304,5,2013-11-20T16:10:00
422036500,7.821445,98.405530,1,105,5,2013-11-20T16:00:00
98,1.224313,103.929100,112,66,0,2013-11-20T15:52:00
525023209,-5.997800,105.945900,1,128,1,2013-11-20T16:11:00
636092103,1.251822,103.609200,0,0,5,2013-11-20T16:10:00
457446000,1.278807,103.887600,1,24,1,2013-11-20T15:58:00
525023144,-5.863217,105.797900,3,16,0,2013-11-20T16:11:00
5330049,1.601473,103.546100,0,0,14,2013-11-20T16:09:00
457662000,1.307883,103.652700,0,360,0,2013-11-20T16:11:00
477829100,1.267067,103.915300,1,225,1,2013-11-20T16:09:00
256604000,1.212900,103.535600,149,184,0,2013-11-20T16:08:00
565610000,1.242543,103.804400,6,241,1,2013-11-20T15:53:00
565162000,1.286300,103.767500,0,71,5,2013-11-20T16:09:00
309368000,1.230383,103.976000,123,77,0,2013-11-20T15:53:00
309658000,1.222345,103.800600,2,358,1,2013-11-20T16:08:00
5631123,1.261445,103.852100,0,0,98,2013-11-20T16:07:00
233088000,1.356592,103.546900,0,61,0,2013-11-20T16:11:00
457900067,-5.851292,105.821600,56,276,0,2013-11-20T16:12:00
356876000,1.254717,103.710400,0,0,5,2013-11-20T16:03:00
308089000,1.241885,103.921800,0,241,0,2013-11-20T15:58:00
370959000,1.270448,103.851900,0,176,5,2013-11-20T16:11:00
563002010,1.261940,103.556800,1,166,0,2013-11-20T16:06:00
565623000,1.232167,103.584500,0,218,1,2013-11-20T16:01:00
525002004,-3.347097,114.537700,1,191,1,2013-11-20T16:10:00
564817000,1.244342,103.795600,1,20,1,2013-11-20T16:08:00
525015146,-5.861637,106.027300,1,163,1,2013-11-20T16:09:00
351137000,1.277300,103.955700,18,13,0,2013-11-20T16:04:00
565282000,1.247900,103.799500,1,330,0,2013-11-20T16:10:00
563022460,1.301560,103.756400,0,129,99,2013-11-20T16:08:00
995031022,-10.502760,142.358300,0,0,98,2013-11-20T16:09:00
525008001,-5.972407,105.982000,1,309,1,2013-11-20T16:06:00
357200000,1.267473,103.833400,0,264,5,2013-11-20T16:10:00
564017000,1.263113,103.846300,0,261,5,2013-11-20T16:10:00
355817000,1.169610,103.710300,2,6,1,2013-11-20T15:55:00
563022450,1.301463,103.756200,0,360,99,2013-11-20T16:06:00
253403000,1.300182,103.653600,0,282,5,2013-11-20T16:11:00
636092031,10.394170,124.018700,2,126,1,2013-11-20T16:10:00
209854000,-6.017334,105.911200,0,124,1,2013-11-20T16:09:00
529277000,1.239100,103.803800,1,28,1,2013-11-20T16:11:00
563020890,1.266710,103.735400,164,224,99,2013-11-20T16:08:00
477016800,1.221482,103.963900,113,81,0,2013-11-20T16:05:00
913916393,10.742320,106.724000,0,0,1,2013-11-20T16:09:00
354836000,1.160867,103.576900,112,244,0,2013-11-20T16:06:00
525002062,-5.927043,105.993500,4,193,0,2013-11-20T16:11:00
5030256,-10.718750,142.629400,0,0,14,2013-11-20T16:10:00
564009000,1.237717,103.524100,5,211,1,2013-11-20T16:08:00
565553000,1.209685,103.795100,0,240,1,2013-11-20T15:52:00
503731200,-12.441420,130.859600,0,0,99,2013-11-20T16:11:00
564486000,1.232648,103.593100,1,326,5,2013-11-20T16:07:00
564768000,1.265680,103.846800,0,95,5,2013-11-20T16:10:00
229172000,1.142283,103.621800,0,163,1,2013-11-20T16:08:00
357988000,1.258927,103.841900,0,256,5,2013-11-20T16:03:00
566496000,1.265543,103.943300,1,182,0,2013-11-20T15:50:00
995036057,-10.527000,142.446700,0,0,98,2013-11-20T16:12:00
565550000,6.374967,95.151720,131,92,0,2013-11-20T16:10:00
525015069,-3.332172,114.555000,0,211,5,2013-11-20T16:09:00
370401000,10.270940,123.887700,1,278,1,2013-11-20T16:12:00
325586000,1.250230,103.594800,1,53,1,2013-11-20T16:10:00
5030051,-10.529030,142.223100,0,0,14,2013-11-20T16:08:00
636091308,1.260950,103.825700,0,241,5,2013-11-20T16:00:00
525015455,-3.368367,114.516400,0,275,0,2013-11-20T16:11:00
548018500,10.314810,123.941100,0,109,1,2013-11-20T16:10:00
636091162,1.364205,103.544800,0,46,5,2013-11-20T16:09:00
354462000,1.240557,103.789500,4,49,1,2013-11-20T16:11:00
563000790,1.290725,103.760700,0,228,99,2013-11-20T16:08:00
563020710,1.294000,103.754500,3,271,99,2013-11-20T16:12:00
405000106,1.229212,103.953300,123,63,0,2013-11-20T15:31:00
355871000,1.235100,103.603600,0,218,1,2013-11-20T16:01:00
564179000,1.242850,103.654100,54,136,99,2013-11-20T16:12:00
538003360,1.175167,103.707300,1,57,1,2013-11-20T16:11:00
564567000,1.230967,103.875200,29,120,99,2013-11-20T16:00:00
503515000,-12.471880,130.846600,0,281,99,2013-11-20T16:11:00
353491000,1.275850,103.689300,0,61,5,2013-11-20T16:10:00
563007580,1.305808,103.727800,1,268,0,2013-11-20T16:11:00
563009240,1.222870,103.678000,63,50,0,2013-11-20T16:06:00
525006045,-5.837528,105.876900,43,278,0,2013-11-20T16:11:00
564616000,1.240000,103.722700,83,58,5,2013-11-20T16:09:00
